# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

p 2 0 890 30 8094 1216
p 2 0 878 42 7971 1215
p 2 0 881 39 8266 1215
p 2 0 896 24 8390 1237
p 2 0 906 14 8558 1239
i 2 920 0 0 25257 3726
p 2 10 687 223 8721 1217
p 2 0 573 347 1010 718
p 2 0 407 513 630 536
p 2 3 520 397 6967 913
p 2 0 394 526 822 544
p 2 0 246 674 497 397
p 2 0 390 530 6118 740
p 2 0 263 657 752 438
p 2 0 231 689 499 375
p 2 30 338 552 10925 1018
p 2 0 252 668 743 445
p 2 0 185 735 460 352
p 2 34 366 520 11159 1084
p 2 0 268 652 750 457
p 2 0 262 658 545 420
p 2 1 406 513 6280 757
p 2 0 333 587 868 496
p 2 0 246 674 533 396
p 2 2 353 565 4880 669
p 2 0 234 686 680 401
p 2 0 212 708 477 365
p 2 2 321 597 4800 622
p 2 0 220 700 675 394
p 2 0 177 743 462 336
p 2 0 323 597 5542 662
p 2 0 225 695 684 390
p 2 0 178 742 465 335
p 2 0 317 603 5901 656
p 2 0 225 695 720 398
p 2 0 165 755 473 322
p 2 0 294 626 6757 679
p 2 0 222 698 685 393
p 2 0 145 775 425 307
p 2 0 346 574 5704 654
p 2 0 247 673 733 410
p 2 0 169 751 470 326
p 2 0 321 599 5542 618
p 2 0 218 702 720 393
p 2 0 133 787 417 297
p 2 0 120 800 1551 305
